Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos
08 Castilla - La Mancha;2020M12;975
08 Castilla - La Mancha;2020M11;1.156
08 Castilla - La Mancha;2020M10;1.351
08 Castilla - La Mancha;2020M09;1.299
08 Castilla - La Mancha;2020M08;1.298
08 Castilla - La Mancha;2020M07;1.345
08 Castilla - La Mancha;2020M06;1.257
08 Castilla - La Mancha;2020M05;1.262
08 Castilla - La Mancha;2020M04;1.156
08 Castilla - La Mancha;2020M03;1.250
08 Castilla - La Mancha;2020M02;1.158
08 Castilla - La Mancha;2020M01;1.231
08 Castilla - La Mancha;2019M12;1.213
08 Castilla - La Mancha;2019M11;1.189
08 Castilla - La Mancha;2019M10;1.308
08 Castilla - La Mancha;2019M09;1.318
08 Castilla - La Mancha;2019M08;1.382
08 Castilla - La Mancha;2019M07;1.396
08 Castilla - La Mancha;2019M06;1.294
08 Castilla - La Mancha;2019M05;1.312
08 Castilla - La Mancha;2019M04;1.225
08 Castilla - La Mancha;2019M03;1.304
08 Castilla - La Mancha;2019M02;1.153
08 Castilla - La Mancha;2019M01;1.222
08 Castilla - La Mancha;2018M12;1.276
08 Castilla - La Mancha;2018M11;1.241
08 Castilla - La Mancha;2018M10;1.459
08 Castilla - La Mancha;2018M09;1.324
08 Castilla - La Mancha;2018M08;1.374
08 Castilla - La Mancha;2018M07;1.391
08 Castilla - La Mancha;2018M06;1.358
08 Castilla - La Mancha;2018M05;1.342
08 Castilla - La Mancha;2018M04;1.221
08 Castilla - La Mancha;2018M03;1.255
08 Castilla - La Mancha;2018M02;1.220
08 Castilla - La Mancha;2018M01;1.384
08 Castilla - La Mancha;2017M12;1.358
08 Castilla - La Mancha;2017M11;1.384
08 Castilla - La Mancha;2017M10;1.516
08 Castilla - La Mancha;2017M09;1.434
08 Castilla - La Mancha;2017M08;1.473
08 Castilla - La Mancha;2017M07;1.526
08 Castilla - La Mancha;2017M06;1.430
08 Castilla - La Mancha;2017M05;1.421
08 Castilla - La Mancha;2017M04;1.237
08 Castilla - La Mancha;2017M03;1.437
08 Castilla - La Mancha;2017M02;1.291
08 Castilla - La Mancha;2017M01;1.357
08 Castilla - La Mancha;2016M12;1.424
08 Castilla - La Mancha;2016M11;1.436
08 Castilla - La Mancha;2016M10;1.517
08 Castilla - La Mancha;2016M09;1.546
08 Castilla - La Mancha;2016M08;1.578
08 Castilla - La Mancha;2016M07;1.579
08 Castilla - La Mancha;2016M06;1.550
08 Castilla - La Mancha;2016M05;1.360
08 Castilla - La Mancha;2016M04;1.362
08 Castilla - La Mancha;2016M03;1.503
08 Castilla - La Mancha;2016M02;1.405
08 Castilla - La Mancha;2016M01;1.532
08 Castilla - La Mancha;2015M12;1.551
08 Castilla - La Mancha;2015M11;1.445
08 Castilla - La Mancha;2015M10;1.591
08 Castilla - La Mancha;2015M09;1.548
08 Castilla - La Mancha;2015M08;1.470
08 Castilla - La Mancha;2015M07;1.619
08 Castilla - La Mancha;2015M06;1.491
08 Castilla - La Mancha;2015M05;1.551
08 Castilla - La Mancha;2015M04;1.531
08 Castilla - La Mancha;2015M03;1.513
08 Castilla - La Mancha;2015M02;1.338
08 Castilla - La Mancha;2015M01;1.566
08 Castilla - La Mancha;2014M12;1.501
08 Castilla - La Mancha;2014M11;1.454
08 Castilla - La Mancha;2014M10;1.578
08 Castilla - La Mancha;2014M09;1.583
08 Castilla - La Mancha;2014M08;1.585
08 Castilla - La Mancha;2014M07;1.630
08 Castilla - La Mancha;2014M06;1.563
08 Castilla - La Mancha;2014M05;1.507
08 Castilla - La Mancha;2014M04;1.510
08 Castilla - La Mancha;2014M03;1.533
08 Castilla - La Mancha;2014M02;1.369
08 Castilla - La Mancha;2014M01;1.579
08 Castilla - La Mancha;2013M12;1.505
08 Castilla - La Mancha;2013M11;1.556
08 Castilla - La Mancha;2013M10;1.640
08 Castilla - La Mancha;2013M09;1.675
08 Castilla - La Mancha;2013M08;1.637
08 Castilla - La Mancha;2013M07;1.704
08 Castilla - La Mancha;2013M06;1.564
08 Castilla - La Mancha;2013M05;1.554
08 Castilla - La Mancha;2013M04;1.629
08 Castilla - La Mancha;2013M03;1.552
08 Castilla - La Mancha;2013M02;1.412
08 Castilla - La Mancha;2013M01;1.640
08 Castilla - La Mancha;2012M12;1.591
08 Castilla - La Mancha;2012M11;1.659
08 Castilla - La Mancha;2012M10;1.716
08 Castilla - La Mancha;2012M09;1.750
08 Castilla - La Mancha;2012M08;1.792
08 Castilla - La Mancha;2012M07;1.704
08 Castilla - La Mancha;2012M06;1.704
08 Castilla - La Mancha;2012M05;1.724
08 Castilla - La Mancha;2012M04;1.651
08 Castilla - La Mancha;2012M03;1.745
08 Castilla - La Mancha;2012M02;1.646
08 Castilla - La Mancha;2012M01;1.700
08 Castilla - La Mancha;2011M12;1.742
08 Castilla - La Mancha;2011M11;1.724
08 Castilla - La Mancha;2011M10;1.767
08 Castilla - La Mancha;2011M09;1.818
08 Castilla - La Mancha;2011M08;1.886
08 Castilla - La Mancha;2011M07;1.868
08 Castilla - La Mancha;2011M06;1.801
08 Castilla - La Mancha;2011M05;1.761
08 Castilla - La Mancha;2011M04;1.695
08 Castilla - La Mancha;2011M03;1.799
08 Castilla - La Mancha;2011M02;1.711
08 Castilla - La Mancha;2011M01;1.792
08 Castilla - La Mancha;2010M12;1.860
08 Castilla - La Mancha;2010M11;1.877
08 Castilla - La Mancha;2010M10;1.876
08 Castilla - La Mancha;2010M09;1.976
08 Castilla - La Mancha;2010M08;1.920
08 Castilla - La Mancha;2010M07;1.911
08 Castilla - La Mancha;2010M06;1.730
08 Castilla - La Mancha;2010M05;1.823
08 Castilla - La Mancha;2010M04;1.776
08 Castilla - La Mancha;2010M03;1.841
08 Castilla - La Mancha;2010M02;1.634
08 Castilla - La Mancha;2010M01;1.774
08 Castilla - La Mancha;2009M12;1.871
08 Castilla - La Mancha;2009M11;1.814
08 Castilla - La Mancha;2009M10;1.903
08 Castilla - La Mancha;2009M09;1.871
08 Castilla - La Mancha;2009M08;1.923
08 Castilla - La Mancha;2009M07;1.907
08 Castilla - La Mancha;2009M06;1.905
08 Castilla - La Mancha;2009M05;1.874
08 Castilla - La Mancha;2009M04;1.813
08 Castilla - La Mancha;2009M03;1.930
08 Castilla - La Mancha;2009M02;1.677
08 Castilla - La Mancha;2009M01;1.834
08 Castilla - La Mancha;2008M12;1.741
08 Castilla - La Mancha;2008M11;1.889
08 Castilla - La Mancha;2008M10;1.954
08 Castilla - La Mancha;2008M09;2.044
08 Castilla - La Mancha;2008M08;1.956
08 Castilla - La Mancha;2008M07;1.998
08 Castilla - La Mancha;2008M06;1.940
08 Castilla - La Mancha;2008M05;2.006
08 Castilla - La Mancha;2008M04;1.989
08 Castilla - La Mancha;2008M03;1.856
08 Castilla - La Mancha;2008M02;1.726
08 Castilla - La Mancha;2008M01;1.939
08 Castilla - La Mancha;2007M12;1.445
08 Castilla - La Mancha;2007M11;1.574
08 Castilla - La Mancha;2007M10;1.865
08 Castilla - La Mancha;2007M09;1.937
08 Castilla - La Mancha;2007M08;1.816
08 Castilla - La Mancha;2007M07;1.946
08 Castilla - La Mancha;2007M06;1.796
08 Castilla - La Mancha;2007M05;1.799
08 Castilla - La Mancha;2007M04;1.661
08 Castilla - La Mancha;2007M03;1.835
08 Castilla - La Mancha;2007M02;1.499
08 Castilla - La Mancha;2007M01;1.702
08 Castilla - La Mancha;2006M12;1.684
08 Castilla - La Mancha;2006M11;1.722
08 Castilla - La Mancha;2006M10;1.763
08 Castilla - La Mancha;2006M09;1.774
08 Castilla - La Mancha;2006M08;1.798
08 Castilla - La Mancha;2006M07;1.694
08 Castilla - La Mancha;2006M06;1.672
08 Castilla - La Mancha;2006M05;1.753
08 Castilla - La Mancha;2006M04;1.652
08 Castilla - La Mancha;2006M03;1.690
08 Castilla - La Mancha;2006M02;1.529
08 Castilla - La Mancha;2006M01;1.658
08 Castilla - La Mancha;2005M12;1.601
08 Castilla - La Mancha;2005M11;1.519
08 Castilla - La Mancha;2005M10;1.586
08 Castilla - La Mancha;2005M09;1.658
08 Castilla - La Mancha;2005M08;1.679
08 Castilla - La Mancha;2005M07;1.681
08 Castilla - La Mancha;2005M06;1.563
08 Castilla - La Mancha;2005M05;1.681
08 Castilla - La Mancha;2005M04;1.510
08 Castilla - La Mancha;2005M03;1.587
08 Castilla - La Mancha;2005M02;1.425
08 Castilla - La Mancha;2005M01;1.517
08 Castilla - La Mancha;2004M12;1.500
08 Castilla - La Mancha;2004M11;1.494
08 Castilla - La Mancha;2004M10;1.649
08 Castilla - La Mancha;2004M09;1.629
08 Castilla - La Mancha;2004M08;1.567
08 Castilla - La Mancha;2004M07;1.642
08 Castilla - La Mancha;2004M06;1.542
08 Castilla - La Mancha;2004M05;1.585
08 Castilla - La Mancha;2004M04;1.554
08 Castilla - La Mancha;2004M03;1.525
08 Castilla - La Mancha;2004M02;1.391
08 Castilla - La Mancha;2004M01;1.429
08 Castilla - La Mancha;2003M12;1.433
08 Castilla - La Mancha;2003M11;1.470
08 Castilla - La Mancha;2003M10;1.509
08 Castilla - La Mancha;2003M09;1.576
08 Castilla - La Mancha;2003M08;1.587
08 Castilla - La Mancha;2003M07;1.565
08 Castilla - La Mancha;2003M06;1.496
08 Castilla - La Mancha;2003M05;1.540
08 Castilla - La Mancha;2003M04;1.567
08 Castilla - La Mancha;2003M03;1.500
08 Castilla - La Mancha;2003M02;1.331
08 Castilla - La Mancha;2003M01;1.477
08 Castilla - La Mancha;2002M12;1.425
08 Castilla - La Mancha;2002M11;1.401
08 Castilla - La Mancha;2002M10;1.427
08 Castilla - La Mancha;2002M09;1.505
08 Castilla - La Mancha;2002M08;1.477
08 Castilla - La Mancha;2002M07;1.526
08 Castilla - La Mancha;2002M06;1.352
08 Castilla - La Mancha;2002M05;1.500
08 Castilla - La Mancha;2002M04;1.469
08 Castilla - La Mancha;2002M03;1.351
08 Castilla - La Mancha;2002M02;1.304
08 Castilla - La Mancha;2002M01;1.380
08 Castilla - La Mancha;2001M12;1.381
08 Castilla - La Mancha;2001M11;1.348
08 Castilla - La Mancha;2001M10;1.503
08 Castilla - La Mancha;2001M09;1.442
08 Castilla - La Mancha;2001M08;1.478
08 Castilla - La Mancha;2001M07;1.474
08 Castilla - La Mancha;2001M06;1.358
08 Castilla - La Mancha;2001M05;1.496
08 Castilla - La Mancha;2001M04;1.374
08 Castilla - La Mancha;2001M03;1.376
08 Castilla - La Mancha;2001M02;1.223
08 Castilla - La Mancha;2001M01;1.343
08 Castilla - La Mancha;2000M12;1.400
08 Castilla - La Mancha;2000M11;1.323
08 Castilla - La Mancha;2000M10;1.425
08 Castilla - La Mancha;2000M09;1.425
08 Castilla - La Mancha;2000M08;1.498
08 Castilla - La Mancha;2000M07;1.440
08 Castilla - La Mancha;2000M06;1.329
08 Castilla - La Mancha;2000M05;1.508
08 Castilla - La Mancha;2000M04;1.409
08 Castilla - La Mancha;2000M03;1.452
08 Castilla - La Mancha;2000M02;1.219
08 Castilla - La Mancha;2000M01;1.295
08 Castilla - La Mancha;1999M12;1.375
08 Castilla - La Mancha;1999M11;1.311
08 Castilla - La Mancha;1999M10;1.431
08 Castilla - La Mancha;1999M09;1.453
08 Castilla - La Mancha;1999M08;1.431
08 Castilla - La Mancha;1999M07;1.558
08 Castilla - La Mancha;1999M06;1.380
08 Castilla - La Mancha;1999M05;1.384
08 Castilla - La Mancha;1999M04;1.398
08 Castilla - La Mancha;1999M03;1.410
08 Castilla - La Mancha;1999M02;1.302
08 Castilla - La Mancha;1999M01;1.323
08 Castilla - La Mancha;1998M12;1.398
08 Castilla - La Mancha;1998M11;1.268
08 Castilla - La Mancha;1998M10;1.342
08 Castilla - La Mancha;1998M09;1.360
08 Castilla - La Mancha;1998M08;1.323
08 Castilla - La Mancha;1998M07;1.441
08 Castilla - La Mancha;1998M06;1.333
08 Castilla - La Mancha;1998M05;1.423
08 Castilla - La Mancha;1998M04;1.467
08 Castilla - La Mancha;1998M03;1.391
08 Castilla - La Mancha;1998M02;1.222
08 Castilla - La Mancha;1998M01;1.336
08 Castilla - La Mancha;1997M12;1.343
08 Castilla - La Mancha;1997M11;1.308
08 Castilla - La Mancha;1997M10;1.369
08 Castilla - La Mancha;1997M09;1.387
08 Castilla - La Mancha;1997M08;1.374
08 Castilla - La Mancha;1997M07;1.533
08 Castilla - La Mancha;1997M06;1.364
08 Castilla - La Mancha;1997M05;1.510
08 Castilla - La Mancha;1997M04;1.447
08 Castilla - La Mancha;1997M03;1.433
08 Castilla - La Mancha;1997M02;1.323
08 Castilla - La Mancha;1997M01;1.382
08 Castilla - La Mancha;1996M12;1.383
08 Castilla - La Mancha;1996M11;1.352
08 Castilla - La Mancha;1996M10;1.372
08 Castilla - La Mancha;1996M09;1.366
08 Castilla - La Mancha;1996M08;1.487
08 Castilla - La Mancha;1996M07;1.412
08 Castilla - La Mancha;1996M06;1.376
08 Castilla - La Mancha;1996M05;1.472
08 Castilla - La Mancha;1996M04;1.442
08 Castilla - La Mancha;1996M03;1.408
08 Castilla - La Mancha;1996M02;1.224
08 Castilla - La Mancha;1996M01;1.452
08 Castilla - La Mancha;1995M12;1.389
08 Castilla - La Mancha;1995M11;1.298
08 Castilla - La Mancha;1995M10;1.469
08 Castilla - La Mancha;1995M09;1.367
08 Castilla - La Mancha;1995M08;1.519
08 Castilla - La Mancha;1995M07;1.583
08 Castilla - La Mancha;1995M06;1.583
08 Castilla - La Mancha;1995M05;1.532
08 Castilla - La Mancha;1995M04;1.495
08 Castilla - La Mancha;1995M03;1.400
08 Castilla - La Mancha;1995M02;1.276
08 Castilla - La Mancha;1995M01;1.406
08 Castilla - La Mancha;1994M12;1.399
08 Castilla - La Mancha;1994M11;1.347
08 Castilla - La Mancha;1994M10;1.418
08 Castilla - La Mancha;1994M09;1.492
08 Castilla - La Mancha;1994M08;1.557
08 Castilla - La Mancha;1994M07;1.630
08 Castilla - La Mancha;1994M06;1.582
08 Castilla - La Mancha;1994M05;1.507
08 Castilla - La Mancha;1994M04;1.481
08 Castilla - La Mancha;1994M03;1.612
08 Castilla - La Mancha;1994M02;1.291
08 Castilla - La Mancha;1994M01;1.394
08 Castilla - La Mancha;1993M12;1.390
08 Castilla - La Mancha;1993M11;1.376
08 Castilla - La Mancha;1993M10;1.456
08 Castilla - La Mancha;1993M09;1.515
08 Castilla - La Mancha;1993M08;1.635
08 Castilla - La Mancha;1993M07;1.628
08 Castilla - La Mancha;1993M06;1.519
08 Castilla - La Mancha;1993M05;1.602
08 Castilla - La Mancha;1993M04;1.595
08 Castilla - La Mancha;1993M03;1.573
08 Castilla - La Mancha;1993M02;1.344
08 Castilla - La Mancha;1993M01;1.463
08 Castilla - La Mancha;1992M12;1.540
08 Castilla - La Mancha;1992M11;1.417
08 Castilla - La Mancha;1992M10;1.595
08 Castilla - La Mancha;1992M09;1.578
08 Castilla - La Mancha;1992M08;1.684
08 Castilla - La Mancha;1992M07;1.722
08 Castilla - La Mancha;1992M06;1.636
08 Castilla - La Mancha;1992M05;1.609
08 Castilla - La Mancha;1992M04;1.592
08 Castilla - La Mancha;1992M03;1.538
08 Castilla - La Mancha;1992M02;1.470
08 Castilla - La Mancha;1992M01;1.442
08 Castilla - La Mancha;1991M12;1.516
08 Castilla - La Mancha;1991M11;1.404
08 Castilla - La Mancha;1991M10;1.529
08 Castilla - La Mancha;1991M09;1.602
08 Castilla - La Mancha;1991M08;1.567
08 Castilla - La Mancha;1991M07;1.675
08 Castilla - La Mancha;1991M06;1.609
08 Castilla - La Mancha;1991M05;1.572
08 Castilla - La Mancha;1991M04;1.645
08 Castilla - La Mancha;1991M03;1.636
08 Castilla - La Mancha;1991M02;1.465
08 Castilla - La Mancha;1991M01;1.513
08 Castilla - La Mancha;1990M12;1.536
08 Castilla - La Mancha;1990M11;1.597
08 Castilla - La Mancha;1990M10;1.514
08 Castilla - La Mancha;1990M09;1.581
08 Castilla - La Mancha;1990M08;1.626
08 Castilla - La Mancha;1990M07;1.789
08 Castilla - La Mancha;1990M06;1.655
08 Castilla - La Mancha;1990M05;1.677
08 Castilla - La Mancha;1990M04;1.578
08 Castilla - La Mancha;1990M03;1.586
08 Castilla - La Mancha;1990M02;1.454
08 Castilla - La Mancha;1990M01;1.534
08 Castilla - La Mancha;1989M12;1.495
08 Castilla - La Mancha;1989M11;1.653
08 Castilla - La Mancha;1989M10;1.581
08 Castilla - La Mancha;1989M09;1.636
08 Castilla - La Mancha;1989M08;1.676
08 Castilla - La Mancha;1989M07;1.813
08 Castilla - La Mancha;1989M06;1.732
08 Castilla - La Mancha;1989M05;1.766
08 Castilla - La Mancha;1989M04;1.633
08 Castilla - La Mancha;1989M03;1.675
08 Castilla - La Mancha;1989M02;1.417
08 Castilla - La Mancha;1989M01;1.504
08 Castilla - La Mancha;1988M12;1.502
08 Castilla - La Mancha;1988M11;1.483
08 Castilla - La Mancha;1988M10;1.613
08 Castilla - La Mancha;1988M09;1.660
08 Castilla - La Mancha;1988M08;1.735
08 Castilla - La Mancha;1988M07;1.733
08 Castilla - La Mancha;1988M06;1.647
08 Castilla - La Mancha;1988M05;1.737
08 Castilla - La Mancha;1988M04;1.613
08 Castilla - La Mancha;1988M03;1.763
08 Castilla - La Mancha;1988M02;1.447
08 Castilla - La Mancha;1988M01;1.585
08 Castilla - La Mancha;1987M12;1.638
08 Castilla - La Mancha;1987M11;1.468
08 Castilla - La Mancha;1987M10;1.547
08 Castilla - La Mancha;1987M09;1.742
08 Castilla - La Mancha;1987M08;1.782
08 Castilla - La Mancha;1987M07;1.769
08 Castilla - La Mancha;1987M06;1.759
08 Castilla - La Mancha;1987M05;1.841
08 Castilla - La Mancha;1987M04;1.743
08 Castilla - La Mancha;1987M03;1.588
08 Castilla - La Mancha;1987M02;1.399
08 Castilla - La Mancha;1987M01;1.633
08 Castilla - La Mancha;1986M12;1.607
08 Castilla - La Mancha;1986M11;1.606
08 Castilla - La Mancha;1986M10;1.653
08 Castilla - La Mancha;1986M09;1.654
08 Castilla - La Mancha;1986M08;1.798
08 Castilla - La Mancha;1986M07;1.872
08 Castilla - La Mancha;1986M06;1.744
08 Castilla - La Mancha;1986M05;1.829
08 Castilla - La Mancha;1986M04;1.754
08 Castilla - La Mancha;1986M03;1.613
08 Castilla - La Mancha;1986M02;1.535
08 Castilla - La Mancha;1986M01;1.555
08 Castilla - La Mancha;1985M12;1.608
08 Castilla - La Mancha;1985M11;1.485
08 Castilla - La Mancha;1985M10;1.681
08 Castilla - La Mancha;1985M09;1.697
08 Castilla - La Mancha;1985M08;1.657
08 Castilla - La Mancha;1985M07;1.866
08 Castilla - La Mancha;1985M06;1.878
08 Castilla - La Mancha;1985M05;1.941
08 Castilla - La Mancha;1985M04;1.730
08 Castilla - La Mancha;1985M03;1.788
08 Castilla - La Mancha;1985M02;1.501
08 Castilla - La Mancha;1985M01;1.653
08 Castilla - La Mancha;1984M12;1.562
08 Castilla - La Mancha;1984M11;1.606
08 Castilla - La Mancha;1984M10;1.826
08 Castilla - La Mancha;1984M09;1.690
08 Castilla - La Mancha;1984M08;1.802
08 Castilla - La Mancha;1984M07;1.863
08 Castilla - La Mancha;1984M06;1.920
08 Castilla - La Mancha;1984M05;1.990
08 Castilla - La Mancha;1984M04;1.877
08 Castilla - La Mancha;1984M03;1.775
08 Castilla - La Mancha;1984M02;1.830
08 Castilla - La Mancha;1984M01;1.696
08 Castilla - La Mancha;1983M12;1.678
08 Castilla - La Mancha;1983M11;1.620
08 Castilla - La Mancha;1983M10;1.721
08 Castilla - La Mancha;1983M09;1.793
08 Castilla - La Mancha;1983M08;1.918
08 Castilla - La Mancha;1983M07;2.001
08 Castilla - La Mancha;1983M06;1.972
08 Castilla - La Mancha;1983M05;2.062
08 Castilla - La Mancha;1983M04;1.784
08 Castilla - La Mancha;1983M03;1.915
08 Castilla - La Mancha;1983M02;1.581
08 Castilla - La Mancha;1983M01;1.793
08 Castilla - La Mancha;1982M12;1.781
08 Castilla - La Mancha;1982M11;1.726
08 Castilla - La Mancha;1982M10;1.963
08 Castilla - La Mancha;1982M09;1.816
08 Castilla - La Mancha;1982M08;1.895
08 Castilla - La Mancha;1982M07;2.052
08 Castilla - La Mancha;1982M06;1.977
08 Castilla - La Mancha;1982M05;2.273
08 Castilla - La Mancha;1982M04;2.003
08 Castilla - La Mancha;1982M03;1.945
08 Castilla - La Mancha;1982M02;1.616
08 Castilla - La Mancha;1982M01;1.757
08 Castilla - La Mancha;1981M12;1.702
08 Castilla - La Mancha;1981M11;1.723
08 Castilla - La Mancha;1981M10;1.825
08 Castilla - La Mancha;1981M09;1.990
08 Castilla - La Mancha;1981M08;1.999
08 Castilla - La Mancha;1981M07;2.230
08 Castilla - La Mancha;1981M06;2.109
08 Castilla - La Mancha;1981M05;2.298
08 Castilla - La Mancha;1981M04;2.032
08 Castilla - La Mancha;1981M03;1.799
08 Castilla - La Mancha;1981M02;1.691
08 Castilla - La Mancha;1981M01;1.730
08 Castilla - La Mancha;1980M12;1.794
08 Castilla - La Mancha;1980M11;1.718
08 Castilla - La Mancha;1980M10;1.794
08 Castilla - La Mancha;1980M09;2.008
08 Castilla - La Mancha;1980M08;1.991
08 Castilla - La Mancha;1980M07;2.111
08 Castilla - La Mancha;1980M06;2.188
08 Castilla - La Mancha;1980M05;2.167
08 Castilla - La Mancha;1980M04;1.972
08 Castilla - La Mancha;1980M03;2.019
08 Castilla - La Mancha;1980M02;1.843
08 Castilla - La Mancha;1980M01;1.934
08 Castilla - La Mancha;1979M12;1.708
