"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"2","08 Castilla - La Mancha;2020M12;975"
"3","08 Castilla - La Mancha;2020M11;1.156"
"4","08 Castilla - La Mancha;2020M10;1.351"
"5","08 Castilla - La Mancha;2020M09;1.299"
"6","08 Castilla - La Mancha;2020M08;1.298"
"7","08 Castilla - La Mancha;2020M07;1.345"
"8","08 Castilla - La Mancha;2020M06;1.257"
"9","08 Castilla - La Mancha;2020M05;1.262"
"10","08 Castilla - La Mancha;2020M04;1.156"
"11","08 Castilla - La Mancha;2020M03;1.250"
"12","08 Castilla - La Mancha;2020M02;1.158"
"13","08 Castilla - La Mancha;2020M01;1.231"
"14","08 Castilla - La Mancha;2019M12;1.213"
"15","08 Castilla - La Mancha;2019M11;1.189"
"16","08 Castilla - La Mancha;2019M10;1.308"
"17","08 Castilla - La Mancha;2019M09;1.318"
"18","08 Castilla - La Mancha;2019M08;1.382"
"19","08 Castilla - La Mancha;2019M07;1.396"
"20","08 Castilla - La Mancha;2019M06;1.294"
"21","08 Castilla - La Mancha;2019M05;1.312"
"22","08 Castilla - La Mancha;2019M04;1.225"
"23","08 Castilla - La Mancha;2019M03;1.304"
"24","08 Castilla - La Mancha;2019M02;1.153"
"25","08 Castilla - La Mancha;2019M01;1.222"
"26","08 Castilla - La Mancha;2018M12;1.276"
"27","08 Castilla - La Mancha;2018M11;1.241"
"28","08 Castilla - La Mancha;2018M10;1.459"
"29","08 Castilla - La Mancha;2018M09;1.324"
"30","08 Castilla - La Mancha;2018M08;1.374"
"31","08 Castilla - La Mancha;2018M07;1.391"
"32","08 Castilla - La Mancha;2018M06;1.358"
"33","08 Castilla - La Mancha;2018M05;1.342"
"34","08 Castilla - La Mancha;2018M04;1.221"
"35","08 Castilla - La Mancha;2018M03;1.255"
"36","08 Castilla - La Mancha;2018M02;1.220"
"37","08 Castilla - La Mancha;2018M01;1.384"
"38","08 Castilla - La Mancha;2017M12;1.358"
"39","08 Castilla - La Mancha;2017M11;1.384"
"40","08 Castilla - La Mancha;2017M10;1.516"
"41","08 Castilla - La Mancha;2017M09;1.434"
"42","08 Castilla - La Mancha;2017M08;1.473"
"43","08 Castilla - La Mancha;2017M07;1.526"
"44","08 Castilla - La Mancha;2017M06;1.430"
"45","08 Castilla - La Mancha;2017M05;1.421"
"46","08 Castilla - La Mancha;2017M04;1.237"
"47","08 Castilla - La Mancha;2017M03;1.437"
"48","08 Castilla - La Mancha;2017M02;1.291"
"49","08 Castilla - La Mancha;2017M01;1.357"
"50","08 Castilla - La Mancha;2016M12;1.424"
"51","08 Castilla - La Mancha;2016M11;1.436"
"52","08 Castilla - La Mancha;2016M10;1.517"
"53","08 Castilla - La Mancha;2016M09;1.546"
"54","08 Castilla - La Mancha;2016M08;1.578"
"55","08 Castilla - La Mancha;2016M07;1.579"
"56","08 Castilla - La Mancha;2016M06;1.550"
"57","08 Castilla - La Mancha;2016M05;1.360"
"58","08 Castilla - La Mancha;2016M04;1.362"
"59","08 Castilla - La Mancha;2016M03;1.503"
"60","08 Castilla - La Mancha;2016M02;1.405"
"61","08 Castilla - La Mancha;2016M01;1.532"
"62","08 Castilla - La Mancha;2015M12;1.551"
"63","08 Castilla - La Mancha;2015M11;1.445"
"64","08 Castilla - La Mancha;2015M10;1.591"
"65","08 Castilla - La Mancha;2015M09;1.548"
"66","08 Castilla - La Mancha;2015M08;1.470"
"67","08 Castilla - La Mancha;2015M07;1.619"
"68","08 Castilla - La Mancha;2015M06;1.491"
"69","08 Castilla - La Mancha;2015M05;1.551"
"70","08 Castilla - La Mancha;2015M04;1.531"
"71","08 Castilla - La Mancha;2015M03;1.513"
"72","08 Castilla - La Mancha;2015M02;1.338"
"73","08 Castilla - La Mancha;2015M01;1.566"
"74","08 Castilla - La Mancha;2014M12;1.501"
"75","08 Castilla - La Mancha;2014M11;1.454"
"76","08 Castilla - La Mancha;2014M10;1.578"
"77","08 Castilla - La Mancha;2014M09;1.583"
"78","08 Castilla - La Mancha;2014M08;1.585"
"79","08 Castilla - La Mancha;2014M07;1.630"
"80","08 Castilla - La Mancha;2014M06;1.563"
"81","08 Castilla - La Mancha;2014M05;1.507"
"82","08 Castilla - La Mancha;2014M04;1.510"
"83","08 Castilla - La Mancha;2014M03;1.533"
"84","08 Castilla - La Mancha;2014M02;1.369"
"85","08 Castilla - La Mancha;2014M01;1.579"
"86","08 Castilla - La Mancha;2013M12;1.505"
"87","08 Castilla - La Mancha;2013M11;1.556"
"88","08 Castilla - La Mancha;2013M10;1.640"
